No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
1,"(0, 0, 0)",[ 77.53346934],[ 66.21171788],[ 556.92001132],[ 526.58289833],[ 3050.941152],[ 3050.941152],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
2,"(0, 1000, 0)",[ 50.93133899],[ 44.94703598],[ 476.88619477],[ 460.11086393],[ 3050.941152],[ 3050.941152],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
3,"(0, 2000, 0)",[ 37.01511536],[ 33.59410219],[ 422.81780931],[ 412.19864052],[ 3050.941152],[ 3050.941152],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
4,"(0, 3000, 0)",[ 28.40731339],[ 25.94908275],[ 392.431888],[ 385.39346646],[ 3050.941152],[ 3050.941152],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
5,"(0, 4000, 0)",[ 25.56531136],[ 25.56531136],[ 375.62654367],[ 371.78957232],[ 3050.941152],[ 3050.941152],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
6,"(1000, 0, 0)",[ 80.05979472],[ 69.49131626],[ 410.95909578],[ 384.65891446],[ 3050.941152],[ 2979.776784],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
7,"(1000, 1000, 0)",[ 53.00028241],[ 46.56257679],[ 343.16898209],[ 324.9976846],[ 2897.200346],[ 2804.85721],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
8,"(1000, 2000, 0)",[ 38.12463246],[ 35.22238775],[ 296.81153789],[ 285.0833099],[ 2787.520004],[ 2787.520004],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
9,"(1000, 3000, 0)",[ 29.8598735],[ 27.99916001],[ 266.83815827],[ 261.25679008],[ 2778.960286],[ 2639.583648],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
10,"(1000, 4000, 0)",[ 25.56531136],[ 25.56531136],[ 255.17230185],[ 254.73941269],[ 2633.81095],[ 2633.81095],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
11,"(2000, 0, 0)",[ 91.95748142],[ 79.51851619],[ 299.51461384],[ 275.69899913],[ 2468.85508],[ 2453.073662],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
12,"(2000, 1000, 0)",[ 61.52295867],[ 54.84763989],[ 240.14030579],[ 225.15689857],[ 2328.816016],[ 2313.36917767],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
13,"(2000, 2000, 0)",[ 44.50759888],[ 41.29486608],[ 200.68614852],[ 190.75642573],[ 2300.041854],[ 2177.736648],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
14,"(2000, 3000, 0)",[ 35.82191187],[ 33.88037226],[ 177.32769855],[ 171.3900066],[ 2177.736648],[ 2175.693164],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
15,"(2000, 4000, 0)",[ 32.48414697],[ 31.91864197],[ 164.51142585],[ 163.74884797],[ 2159.526966],[ 2155.17997],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
16,"(3000, 0, 0)",[ 113.114581],[ 99.93278113],[ 215.18759426],[ 196.8258062],[ 2014.99716],[ 2011.062112],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
17,"(3000, 1000, 0)",[ 78.33526556],[ 70.64144462],[ 164.44676319],[ 151.76864937],[ 1882.92178],[ 1882.379988],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
18,"(3000, 2000, 0)",[ 58.47637339],[ 53.00965281],[ 133.13779728],[ 125.654583],[ 1783.78593],[ 1767.789468],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
